"","ETBL_ID","ETBL_NOM_FR","ADR_CIVIQUE","ADR_MUNICIPALITE","ADR_CODE_POSTAL","ADR_LATITUDE","ADR_LONGITUDE"
"1533",1149843,"HÔTEL LINDBERGH","2825, boul. Laurier","Québec","G1V2L9",46.767646,-71.287186
"1534",1150146,"HÔTEL SÉPIA","3135, ch. St-Louis","Québec","G1W1R9",46.756721,-71.293703
"1535",1150312,"HÔTEL BEST WESTERN PREMIER - HÔTEL ARISTOCRATE","3100, ch. St-Louis","Québec","G1W1R8",46.757146,-71.292369
"1536",1150467,"CHÂTEAU MONT SAINTE-ANNE","500, boul. du Beau-Pré","Beaupré","G0A1E0",47.073666,-70.904764
"1537",1150681,"MOTEL BEAUPRÉ","9355, boul. Ste-Anne","Sainte-Anne-de-Beaupré","G0A3C0",47.015111,-70.946031
"1538",1150928,"LITTORAL - HÔTEL &#38; SPA","3710, boul. Sainte-Anne","Québec","G1E3M3",46.8559074,-71.1857569
"1539",1150985,"HÔTEL-MOTEL LE RÉGENT","3806, boul. Ste-Anne","Québec","G1E3M3",46.8501795,-71.2038886
"1540",1151053,"MOTEL BEAUPORT INN","3568, boul. Ste-Anne","Québec","G1E3L8",46.849514,-71.2059529
"1541",1151120,"MOTEL CHEVALIER","3862, boul. Ste-Anne","Québec","G1E3M3",46.8545992,-71.1914103
"1542",1151182,"AUBERGE LA DILIGENCE ET MOTELS","414, av. de la Friche","Dolbeau-Mistassini","G8L3M7",48.861108,-72.225891
"1543",1151595,"MOTEL CENTRAL","9548, boul. Ste-Anne","Sainte-Anne-de-Beaupré","G0A3C0",47.018236,-70.937946
"1544",1151817,"AUBERGE-MOTEL BLANCHE D'HABERVILLE","34, av. De Gaspé O.","Saint-Jean-Port-Joli","G0R3G0",47.212907,-70.269641
"1545",1151958,"DOMAINE AUX CYGNES","329, av. de Gaspé E.","Saint-Jean-Port-Joli","G0R3G0",47.227792,-70.249379
"1546",1152078,"MOTEL ET RESTAURANT DE LA PLAGE","195, boul. Blais E.","Berthier-sur-Mer","G0R1E0",46.93775,-70.706152
"1547",1152228,"HÔTEL LE VOYAGEUR","1415, boul. Laure","Sept-Îles","G4R4K1",50.248553,-66.400161
"1548",1152306,"AUBERGE-RESTAURANT LA TABLE À ROLAND","190, rte 132 O.","Percé","G0C2L0",48.520324,-64.215512
"1549",1152665,"HÔTEL-MOTEL DU CAPITAINE","3031, ch. des Coudriers","L'Isle-aux-Coudres","G0A2A0",47.426396,-70.337938
