ETBL_ID;ETBL_TYPE_GENRE;ETBL_TYPE_ID;ETBL_TYPE_FR;ETBL_TYPE_EN;ETBL_TYPE_GRP_ID;ETBL_TYPE_GRP_FR;ETBL_TYPE_GRP_EN;ETBL_TYPE_CATG_ID;ETBL_TYPE_CATG_FR;ETBL_TYPE_CATG_EN
871246;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
871355;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
871428;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
871507;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
871587;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
871713;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
871836;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
871922;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
872120;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
872277;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
872385;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
872716;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
872885;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
873029;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
873122;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
873185;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
873244;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
873444;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
873507;principal;241055221;Autre hébergement;Other accommodation;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
873565;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
873690;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
873752;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
873830;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
873959;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
874024;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
874185;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
874417;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
874485;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
874653;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
874803;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
874852;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
874936;principal;10819;Chalet / appartement / résidence de tourisme;Cottage / apartment / tourist home;;;;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
875050;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
875282;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
875375;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
875476;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
875555;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
875674;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
875904;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
876121;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
876258;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
876395;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
876595;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
876648;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
876974;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
877026;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
877297;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
877361;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
877557;principal;;;;10817;Hôtel;Hotel;10803;HÉBERGEMENT;LODGING/ACCOMMODATION
